description,score,max
Trains/Planning/remote.md exist,5,5
Trains/Player/cheat exist,5,5
Trains/Admin/manager exist,5,5
xref exist,5,5
Tests/3-out.json Tests/3-in.json Tests/2-out.json Tests/2-in.json Tests/1-out.json Tests/1-in.json exist,5,5
instructor tests,60,60
your tests correct,0,60
bonus caught classmate bug,0,0
code inspection,145,155
total,230,300
