description,score,max
Trains/Planning/player-protocol.md exist,5,5
Trains/Player/strategy exist,5,5
Tests/3-out.json Tests/3-in.json Tests/2-out.json Tests/2-in.json Tests/1-out.json Tests/1-in.json exist,5,5
xlegal exist,5,5
instructor tests,30,30
your tests correct,15,15
bonus caught classmate bug,15,0
code inspection,135,145
total,215,210
